N
N	51.9018
N	51.9018	-8.4582
N	51.9018	-8.4582	B215
N	51.9018	-8.4582	B215	21 Oct 2021
N	51.9018	-8.4582	B215	21 Oct 2021	B215\nCork to Mallow\nExpected Departure 11:58
N	51.9018	-8.4582	B215	21 Oct 2021	B215\nCork to Mallow\nExpected Departure 11:58	To Mallow
N	51.9018	-8.4582	B215	21 Oct 2021	B215\nCork to Mallow\nExpected Departure 11:58	To Mallow
N
N	51.9018
N	51.9018	-8.4582
N	51.9018	-8.4582	D244
N	51.9018	-8.4582	D244	21 Oct 2021
N	51.9018	-8.4582	D244	21 Oct 2021	D244\nCork to Cobh\nExpected Departure 12:00
N	51.9018	-8.4582	D244	21 Oct 2021	D244\nCork to Cobh\nExpected Departure 12:00	To Cobh
N	51.9018	-8.4582	D244	21 Oct 2021	D244\nCork to Cobh\nExpected Departure 12:00	To Cobh
N
N	51.9212
N	51.9212	-8.17579
N	51.9212	-8.17579	P279
N	51.9212	-8.17579	P279	21 Oct 2021
N	51.9212	-8.17579	P279	21 Oct 2021	P279\nMidleton to Cork\nExpected Departure 11:45
N	51.9212	-8.17579	P279	21 Oct 2021	P279\nMidleton to Cork\nExpected Departure 11:45	To Cork
N	51.9212	-8.17579	P279	21 Oct 2021	P279\nMidleton to Cork\nExpected Departure 11:45	To Cork
N
N	52.6587
N	52.6587	-8.62397
N	52.6587	-8.62397	A431
N	52.6587	-8.62397	A431	21 Oct 2021
N	52.6587	-8.62397	A431	21 Oct 2021	A431\nLimerick to Limerick Junction\nExpected Departure 11:50
N	52.6587	-8.62397	A431	21 Oct 2021	A431\nLimerick to Limerick Junction\nExpected Departure 11:50	To Limerick Junction
N	52.6587	-8.62397	A431	21 Oct 2021	A431\nLimerick to Limerick Junction\nExpected Departure 11:50	To Limerick Junction
N
N	53.1442
N	53.1442	-6.06085
N	53.1442	-6.06085	E920
N	53.1442	-6.06085	E920	21 Oct 2021
N	53.1442	-6.06085	E920	21 Oct 2021	E920\nGreystones to Howth\nExpected Departure 12:04
N	53.1442	-6.06085	E920	21 Oct 2021	E920\nGreystones to Howth\nExpected Departure 12:04	Northbound
N	53.1442	-6.06085	E920	21 Oct 2021	E920\nGreystones to Howth\nExpected Departure 12:04	Northbound
N
N	53.2043
N	53.2043	-6.10046
N	53.2043	-6.10046	E919
N	53.2043	-6.10046	E919	21 Oct 2021
N	53.2043	-6.10046	E919	21 Oct 2021	E919\nBray to Howth\nExpected Departure 11:55
N	53.2043	-6.10046	E919	21 Oct 2021	E919\nBray to Howth\nExpected Departure 11:55	Northbound
N	53.2043	-6.10046	E919	21 Oct 2021	E919\nBray to Howth\nExpected Departure 11:55	Northbound
N
N	53.3464
N	53.3464	-6.29461
N	53.3464	-6.29461	A212
N	53.3464	-6.29461	A212	21 Oct 2021
N	53.3464	-6.29461	A212	21 Oct 2021	A212\nDublin Heuston to Mallow\nExpected Departure 12:00
N	53.3464	-6.29461	A212	21 Oct 2021	A212\nDublin Heuston to Mallow\nExpected Departure 12:00	To Mallow
N	53.3464	-6.29461	A212	21 Oct 2021	A212\nDublin Heuston to Mallow\nExpected Departure 12:00	To Mallow
N
N	53.3891
N	53.3891	-6.07401
N	53.3891	-6.07401	E113
N	53.3891	-6.07401	E113	21 Oct 2021
N	53.3891	-6.07401	E113	21 Oct 2021	E113\nHowth to Greystones\nExpected Departure 12:00
N	53.3891	-6.07401	E113	21 Oct 2021	E113\nHowth to Greystones\nExpected Departure 12:00	Southbound
N	53.3891	-6.07401	E113	21 Oct 2021	E113\nHowth to Greystones\nExpected Departure 12:00	Southbound
R
R	0
R	0	0
R	0	0	A210
R	0	0	A210	21 Oct 2021
R	0	0	A210	21 Oct 2021	A210\n11:00 - Dublin Heuston to Mallow (-6 mins late)\nDeparted PL102 next stop Templemore
R	0	0	A210	21 Oct 2021	A210\n11:00 - Dublin Heuston to Mallow (-6 mins late)\nDeparted PL102 next stop Templemore	To Mallow
R	0	0	A210	21 Oct 2021	A210\n11:00 - Dublin Heuston to Mallow (-6 mins late)\nDeparted PL102 next stop Templemore	To Mallow
R
R	52.1396
R	52.1396	-8.65521
R	52.1396	-8.65521	A213
R	52.1396	-8.65521	A213	21 Oct 2021
R	52.1396	-8.65521	A213	21 Oct 2021	A213\n11:48 - Mallow to Dublin Heuston (1 mins late)\nDeparted Mallow next stop Limerick Junction
R	52.1396	-8.65521	A213	21 Oct 2021	A213\n11:48 - Mallow to Dublin Heuston (1 mins late)\nDeparted Mallow next stop Limerick Junction	To Dublin Heuston
R	52.1396	-8.65521	A213	21 Oct 2021	A213\n11:48 - Mallow to Dublin Heuston (1 mins late)\nDeparted Mallow next stop Limerick Junction	To Dublin Heuston
R
R	52.1396
R	52.1396	-8.65521
R	52.1396	-8.65521	A304
R	52.1396	-8.65521	A304	21 Oct 2021
R	52.1396	-8.65521	A304	21 Oct 2021	A304\n11:25 - Mallow to Tralee (0 mins late)\nDeparted Mallow next stop Banteer
R	52.1396	-8.65521	A304	21 Oct 2021	A304\n11:25 - Mallow to Tralee (0 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R	52.1396	-8.65521	A304	21 Oct 2021	A304\n11:25 - Mallow to Tralee (0 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R
R	52.3468
R	52.3468	-8.65362
R	52.3468	-8.65362	A208
R	52.3468	-8.65362	A208	21 Oct 2021
